n_samples,mse,mae,qlike,exp_id,experiment_name,model,segment,horizon,delta_mse,delta_mae,delta_qlike,oos_r2
221915,0.22480740914395578,0.34306991521398034,0.35179318083724004,0,naive_baseline,naive,GLOBAL,1,0.0,0.0,0.0,0.0
222058,0.06293512871596679,0.18701178986111627,0.13804254783175196,1,baseline,ridge,GLOBAL,1,-0.16187228042798898,-0.15605812535286406,-0.21375063300548808,0.7200486898736234
217214,0.06168698662927954,0.1850748712082953,0.1321809521326087,2,moments,ridge,GLOBAL,1,-0.16312042251467623,-0.15799504400568504,-0.21961222870463135,0.7256007403662653
203433,0.061970256264065965,0.18564518309184835,0.13173433702403833,3,liquidity,ridge,GLOBAL,1,-0.1628371528798898,-0.15742473212213198,-0.2200588438132017,0.7243406856560355
200687,0.06218229474599683,0.1861333146641725,0.1337514603539457,4,market_ew,ridge,GLOBAL,1,-0.16262511439795896,-0.15693660054980785,-0.21804172048329434,0.723397485061632
200687,0.06207360108560736,0.18594544280513212,0.1334669947448633,5,market_vw,ridge,GLOBAL,1,-0.16273380805834842,-0.15712447240884822,-0.21832618609237675,0.7238809818502983
138279,0.06518755750887724,0.18810495367789198,0.13966151658346515,6,sentiment,ridge,GLOBAL,1,-0.15961985163507852,-0.15496496153608835,-0.2121316642537749,0.7100293190642383
14468,0.05945916943324381,0.17823676531273694,0.1259156047846681,7,implied_vol,ridge,GLOBAL,1,-0.16534823971071197,-0.1648331499012434,-0.22587757605257194,0.7355106325914328
136849,0.06487651035226141,0.18774935245272095,0.14054385569967623,8,vol_demand,ridge,GLOBAL,1,-0.15993089879169436,-0.15532056276125938,-0.2112493251375638,0.711412935190594
12890,0.0587277865508559,0.17580734165660933,0.12310718980327637,9,all_features,ridge,GLOBAL,1,-0.16607962259309988,-0.167262573557371,-0.22868599103396367,0.7387640079369027
